country_name,country_code,year,cluster,cluster_name,internet_pct,gini,log_gdp,urban_pct,electricity_access
Albania,ALB,2022,1,Advanced Digital Leaders,82.61367544,29.4,9.87245463067242,57.8643477747383,100.0
Argentina,ARG,2022,3,Unequal Digitalizers,88.37535691,40.7,10.23369115904557,92.112838186126,100.0
Armenia,ARM,2022,1,Advanced Digital Leaders,77.02767465,27.9,9.7917835364512,65.5624462874485,100.0
Australia,AUS,2022,1,Advanced Digital Leaders,96.11940002,33.8,11.002585272014857,87.3343268253813,100.0
Austria,AUT,2022,1,Advanced Digital Leaders,93.61409139,30.9,11.092771268441906,68.998085127906,100.0
Azerbaijan,AZE,2022,1,Advanced Digital Leaders,88.0,26.6,9.954714945637392,58.4382815854684,100.0
Bangladesh,BGD,2022,2,Developing Digital Economies,41.61650085,30.9,8.97311867332107,31.673734726234,99.4
Belarus,BLR,2022,1,Advanced Digital Leaders,89.50733148,24.4,10.186314419084187,78.4732787892908,100.0
Belgium,BEL,2022,1,Advanced Digital Leaders,94.00783071,26.4,11.043909844208509,87.489200269855,100.0
Benin,BEN,2022,0,Infrastructure Gap Economies,30.53730011,34.4,8.185440854350675,50.9627000010887,56.5
Bhutan,BTN,2022,2,Developing Digital Economies,88.35620117,28.5,9.551182477330928,40.9365143617581,100.0
Bolivia,BOL,2022,3,Unequal Digitalizers,72.62270355,41.2,9.349033472031492,70.6352598708131,99.9
Bosnia and Herzegovina,BIH,2022,2,Developing Digital Economies,78.8455371,30.3,9.867766956314302,51.0215287060993,100.0
Brazil,BRA,2022,3,Unequal Digitalizers,80.52775094,51.9,9.828443167314996,87.349556243881,100.0
Bulgaria,BGR,2022,1,Advanced Digital Leaders,79.12686326,38.2,10.38695617518222,73.4799164005224,100.0
Burkina Faso,BFA,2022,0,Infrastructure Gap Economies,25.3987999,37.4,7.81164931613636,27.2791369742712,19.5
Cameroon,CMR,2022,0,Infrastructure Gap Economies,40.12559891,42.2,8.485423926599415,54.8458745688318,71.0
Canada,CAN,2022,1,Advanced Digital Leaders,94.0,31.5,10.973718562392552,82.3500897353968,100.0
Chad,TCD,2022,0,Infrastructure Gap Economies,11.17029953,37.4,7.803632061034704,25.7635558629694,11.7
Chile,CHL,2022,3,Unequal Digitalizers,92.31819916,43.2,10.294497944540074,88.6395352768685,100.0
China,CHN,2022,1,Advanced Digital Leaders,75.61131603,36.0,9.975779482700345,65.2176361083984,100.0
Colombia,COL,2022,3,Unequal Digitalizers,72.79637855,54.8,9.823292217794483,78.0464633137335,100.0
Costa Rica,CRI,2022,3,Unequal Digitalizers,82.59801121,47.2,10.119877120890814,78.4405687613972,100.0
Cote d'Ivoire,CIV,2022,0,Infrastructure Gap Economies,38.41328122,35.3,8.74389264622029,52.8492549676673,72.0
Croatia,HRV,2022,1,Advanced Digital Leaders,82.07155532,30.0,10.593229193021507,56.9977571733605,100.0
Cyprus,CYP,2022,1,Advanced Digital Leaders,89.60099194,31.5,10.83217703869434,66.6694829407584,100.0
Czechia,CZE,2022,1,Advanced Digital Leaders,84.54009378,25.9,10.78706213356606,72.6967638379524,100.0
Denmark,DNK,2022,1,Advanced Digital Leaders,97.86011812,29.3,11.148726858631605,88.3880239837703,100.0
Djibouti,DJI,2022,3,Unequal Digitalizers,63.77600098,41.6,8.72918357448723,72.6109938538856,65.0
Dominican Republic,DOM,2022,1,Advanced Digital Leaders,81.51269675,37.0,10.042682294128982,72.4203155643711,98.1
Ecuador,ECU,2022,3,Unequal Digitalizers,69.71811356,45.5,9.560055874898769,63.0901835932266,100.0
"Egypt, Arab Rep.",EGY,2022,2,Developing Digital Economies,72.19806556,28.5,9.70261849587614,42.6325129008032,100.0
El Salvador,SLV,2022,3,Unequal Digitalizers,60.05609894,38.8,9.313403854143615,74.1465021298679,100.0
Estonia,EST,2022,1,Advanced Digital Leaders,91.52016546,32.3,10.671942388962352,70.4892333736738,100.0
Ethiopia,ETH,2022,0,Infrastructure Gap Economies,17.9836998,31.1,7.8844231733277,22.7367687225342,55.4
Fiji,FJI,2022,2,Developing Digital Economies,72.56549835,30.7,9.402473493478253,58.1352701465266,92.0
Finland,FIN,2022,1,Advanced Digital Leaders,92.98879471,27.9,10.952004174073158,73.6967597835949,100.0
France,FRA,2022,1,Advanced Digital Leaders,85.33331734,31.2,10.890680521722915,78.7591921123356,100.0
"Gambia, The",GMB,2022,0,Infrastructure Gap Economies,48.22539902,38.8,7.959688348272778,63.2869880996278,65.4
Georgia,GEO,2022,1,Advanced Digital Leaders,78.71127536,33.5,9.950682542191574,60.0101622679115,100.0
Germany,DEU,2022,1,Advanced Digital Leaders,91.62984383,33.7,11.061564383672016,81.7867852780995,100.0
Greece,GRC,2022,1,Advanced Digital Leaders,83.17066333,33.4,10.48657832503267,78.5502190980809,100.0
Guinea,GIN,2022,0,Infrastructure Gap Economies,31.31399918,29.6,8.24065168203201,37.2384967469106,47.7
Guinea-Bissau,GNB,2022,0,Infrastructure Gap Economies,27.67379951,33.4,7.864512188821534,45.1627159118652,37.4
Honduras,HND,2022,3,Unequal Digitalizers,56.88069916,48.2,8.75661742651745,57.8364689017254,94.4
Hungary,HUN,2022,1,Advanced Digital Leaders,89.14282688,30.6,10.611793534130534,70.1585064243445,100.0
Iceland,ISL,2022,1,Advanced Digital Leaders,97.58339691,26.8,11.087976533507971,94.1787071228028,100.0
India,IND,2022,2,Developing Digital Economies,55.9,25.5,9.058865165459354,34.7555673994206,99.2
Indonesia,IDN,2022,2,Developing Digital Economies,66.48461277,35.5,9.498092346592026,57.4934704226599,100.0
"Iran, Islamic Rep.",IRN,2022,1,Advanced Digital Leaders,81.71649933,34.8,9.703691872524637,76.3342208862305,100.0
Ireland,IRL,2022,1,Advanced Digital Leaders,95.03690338,29.9,11.721719156240615,63.8920250215059,100.0
Israel,ISR,2022,1,Advanced Digital Leaders,91.85079615,38.3,10.780999767973665,91.4979834273327,100.0
Italy,ITA,2022,1,Advanced Digital Leaders,85.06074504,33.7,10.86538868280361,69.4839779766539,100.0
Jamaica,JAM,2022,3,Unequal Digitalizers,85.84329987,39.9,9.314397432272932,57.9879906034775,100.0
Japan,JPN,2022,1,Advanced Digital Leaders,84.92343147,32.3,10.713802998402551,91.9776532428406,100.0
Jordan,JOR,2022,1,Advanced Digital Leaders,90.4999984,33.7,9.134169160154189,92.4048379066163,100.0
Kazakhstan,KAZ,2022,1,Advanced Digital Leaders,92.29685266,29.2,10.419487610476702,61.444157327248,100.0
Kenya,KEN,2022,0,Infrastructure Gap Economies,29.40589905,38.5,8.610992008378261,31.4307820066946,76.0
"Korea, Rep.",KOR,2022,1,Advanced Digital Leaders,97.16855335,32.9,10.882351191848173,81.1624941626873,100.0
Kyrgyz Republic,KGZ,2022,2,Developing Digital Economies,84.1937027,26.4,8.722543845934766,34.7003053497743,99.7
Lao PDR,LAO,2022,2,Developing Digital Economies,64.54000092,38.8,9.009818126739106,38.0682382805397,100.0
Latvia,LVA,2022,1,Advanced Digital Leaders,91.03009059,33.7,10.537911531386063,68.2570218109034,100.0
Lithuania,LTU,2022,1,Advanced Digital Leaders,87.72420219,36.6,10.750454241971385,68.2866452426813,100.0
Luxembourg,LUX,2022,1,Advanced Digital Leaders,98.24203749,34.1,11.794872320939708,94.7605400940185,100.0
Madagascar,MDG,2022,0,Infrastructure Gap Economies,17.81170082,36.8,7.379453523757659,31.5397813465886,36.1
Malawi,MWI,2022,0,Infrastructure Gap Economies,16.84830093,38.5,7.414548386021472,16.7146031979436,14.0
Malaysia,MYS,2022,3,Unequal Digitalizers,97.3986404,40.7,10.377521230901891,75.9741357073003,100.0
Maldives,MDV,2022,2,Developing Digital Economies,83.91189054,29.3,9.969172818306696,41.0641769690663,100.0
Mali,MLI,2022,0,Infrastructure Gap Economies,35.19919968,35.7,7.942295056891967,30.4015705681899,53.0
Malta,MLT,2022,1,Advanced Digital Leaders,91.54062209,34.6,10.948030031403247,95.6003155132879,100.0
Mauritania,MRT,2022,0,Infrastructure Gap Economies,42.46450043,32.0,8.708352543189632,58.8120996197226,49.0
Mexico,MEX,2022,3,Unequal Digitalizers,78.63217894,43.5,9.97076563183832,79.199683215791,100.0
